__hide_aliasing_typecast                                     mmint___hide_aliasing_typecast
eapol_sm_notify_portValid                                    mmint_eapol_sm_notify_portValid
eapol_sm_notify_tx_eapol_key                                 mmint_eapol_sm_notify_tx_eapol_key
eapol_sm_process_erp_finish                                  mmint_eapol_sm_process_erp_finish
eapol_sm_register_scard_ctx                                  mmint_eapol_sm_register_scard_ctx
eapol_sm_request_reauth                                      mmint_eapol_sm_request_reauth
eapol_sm_rx_eapol                                            mmint_eapol_sm_rx_eapol
eapol_sm_set_ext_pw_ctx                                      mmint_eapol_sm_set_ext_pw_ctx
eapol_sm_step                                                mmint_eapol_sm_step
eapol_sm_update_erp_next_seq_num                             mmint_eapol_sm_update_erp_next_seq_num
eloop_cancel_timeout                                         mmint_eloop_cancel_timeout
eloop_cancel_timeout_one                                     mmint_eloop_cancel_timeout_one
eloop_deplete_timeout                                        mmint_eloop_deplete_timeout
eloop_destroy                                                mmint_eloop_destroy
eloop_init                                                   mmint_eloop_init
eloop_is_timeout_registered                                  mmint_eloop_is_timeout_registered
eloop_register_signal_reconfig                               mmint_eloop_register_signal_reconfig
eloop_register_signal_terminate                              mmint_eloop_register_signal_terminate
eloop_register_timeout                                       mmint_eloop_register_timeout
eloop_run                                                    mmint_eloop_run
eloop_sock_requeue                                           mmint_eloop_sock_requeue
eloop_terminate                                              mmint_eloop_terminate
event_to_string                                              mmint_event_to_string
fc2str                                                       mmint_fc2str
forced_memzero                                               mmint_forced_memzero
free_beacon_data                                             mmint_free_beacon_data
free_bss_tmp_disallowed                                      mmint_free_bss_tmp_disallowed
free_hw_features                                             mmint_free_hw_features
freq_range_list_includes                                     mmint_freq_range_list_includes
freq_range_list_parse                                        mmint_freq_range_list_parse
freq_range_list_str                                          mmint_freq_range_list_str
get_6ghz_sec_channel                                         mmint_get_6ghz_sec_channel
get_basic_mle_mld_addr                                       mmint_get_basic_mle_mld_addr
get_hdr_bssid                                                mmint_get_hdr_bssid
get_ie                                                       mmint_get_ie
get_ie_ext                                                   mmint_get_ie_ext
get_ml_ie                                                    mmint_get_ml_ie
get_mode                                                     mmint_get_mode
get_mode_with_freq                                           mmint_get_mode_with_freq
get_param                                                    mmint_get_param
get_pri_sec_chan                                             mmint_get_pri_sec_chan
get_shared_radio_freqs                                       mmint_get_shared_radio_freqs
get_shared_radio_freqs_data                                  mmint_get_shared_radio_freqs_data
get_vendor_ie                                                mmint_get_vendor_ie
handle_probe_req                                             mmint_handle_probe_req
has_ctrl_char                                                mmint_has_ctrl_char
has_newline                                                  mmint_has_newline
he_supported                                                 mmint_he_supported
hex2byte                                                     mmint_hex2byte
hex2num                                                      mmint_hex2num
hexstr2bin                                                   mmint_hexstr2bin
hmac_sha256_kdf                                              mmint_hmac_sha256_kdf
hmac_sha384_kdf                                              mmint_hmac_sha384_kdf
hmac_sha512_kdf                                              mmint_hmac_sha512_kdf
hostapd_2040_coex_action                                     mmint_hostapd_2040_coex_action
hostapd_acl_comp                                             mmint_hostapd_acl_comp
hostapd_acl_deinit                                           mmint_hostapd_acl_deinit
hostapd_acl_init                                             mmint_hostapd_acl_init
hostapd_acs_completed                                        mmint_hostapd_acs_completed
hostapd_add_acl_maclist                                      mmint_hostapd_add_acl_maclist
hostapd_add_iface                                            mmint_hostapd_add_iface
hostapd_add_sta_node                                         mmint_hostapd_add_sta_node
hostapd_add_tspec                                            mmint_hostapd_add_tspec
hostapd_alloc_bss_data                                       mmint_hostapd_alloc_bss_data
hostapd_alloc_iface                                          mmint_hostapd_alloc_iface
hostapd_allowed_address                                      mmint_hostapd_allowed_address
hostapd_bss_deinit_no_free                                   mmint_hostapd_bss_deinit_no_free
hostapd_build_ap_extra_ies                                   mmint_hostapd_build_ap_extra_ies
hostapd_chan_switch_config                                   mmint_hostapd_chan_switch_config
hostapd_channel_list_updated                                 mmint_hostapd_channel_list_updated
hostapd_check_acl                                            mmint_hostapd_check_acl
hostapd_check_edmg_capab                                     mmint_hostapd_check_edmg_capab
hostapd_check_he_6ghz_capab                                  mmint_hostapd_check_he_6ghz_capab
hostapd_check_ht_capab                                       mmint_hostapd_check_ht_capab
hostapd_clean_rrm                                            mmint_hostapd_clean_rrm
hostapd_cleanup_cs_params                                    mmint_hostapd_cleanup_cs_params
hostapd_cleanup_iface_partial                                mmint_hostapd_cleanup_iface_partial
hostapd_client_poll_ok                                       mmint_hostapd_client_poll_ok
hostapd_config_check                                         mmint_hostapd_config_check
hostapd_config_clear_wpa_psk                                 mmint_hostapd_config_clear_wpa_psk
hostapd_config_defaults                                      mmint_hostapd_config_defaults
hostapd_config_defaults_bss                                  mmint_hostapd_config_defaults_bss
hostapd_config_free                                          mmint_hostapd_config_free
hostapd_config_free_bss                                      mmint_hostapd_config_free_bss
hostapd_config_free_eap_user                                 mmint_hostapd_config_free_eap_user
hostapd_config_free_eap_users                                mmint_hostapd_config_free_eap_users
hostapd_config_free_radius_attr                              mmint_hostapd_config_free_radius_attr
hostapd_config_get_radius_attr                               mmint_hostapd_config_get_radius_attr
hostapd_config_tx_queue                                      mmint_hostapd_config_tx_queue
hostapd_config_wmm_ac                                        mmint_hostapd_config_wmm_ac
hostapd_copy_psk_list                                        mmint_hostapd_copy_psk_list
hostapd_csa_in_progress                                      mmint_hostapd_csa_in_progress
hostapd_csa_update_hwmode                                    mmint_hostapd_csa_update_hwmode
hostapd_deinit_wpa                                           mmint_hostapd_deinit_wpa
hostapd_determine_mode                                       mmint_hostapd_determine_mode
hostapd_dfs_complete_cac                                     mmint_hostapd_dfs_complete_cac
hostapd_dfs_nop_finished                                     mmint_hostapd_dfs_nop_finished
hostapd_dfs_pre_cac_expired                                  mmint_hostapd_dfs_pre_cac_expired
hostapd_dfs_radar_detected                                   mmint_hostapd_dfs_radar_detected
hostapd_dfs_start_cac                                        mmint_hostapd_dfs_start_cac
hostapd_disable_iface                                        mmint_hostapd_disable_iface
hostapd_driver_commit                                        mmint_hostapd_driver_commit
hostapd_driver_get_scan_results                              mmint_hostapd_driver_get_scan_results
hostapd_driver_scan                                          mmint_hostapd_driver_scan
hostapd_driver_set_noa                                       mmint_hostapd_driver_set_noa
hostapd_drv_do_acs                                           mmint_hostapd_drv_do_acs
hostapd_drv_dpp_listen                                       mmint_hostapd_drv_dpp_listen
hostapd_drv_nl80211                                          mmint_hostapd_drv_nl80211
hostapd_drv_none                                             mmint_hostapd_drv_none
hostapd_drv_send_action                                      mmint_hostapd_drv_send_action
hostapd_drv_send_action_addr3_ap                             mmint_hostapd_drv_send_action_addr3_ap
hostapd_drv_send_action_forced_addr3                         mmint_hostapd_drv_send_action_forced_addr3
hostapd_drv_send_mlme                                        mmint_hostapd_drv_send_mlme
hostapd_drv_set_key                                          mmint_hostapd_drv_set_key
hostapd_drv_set_qos_map                                      mmint_hostapd_drv_set_qos_map
hostapd_drv_sta_deauth                                       mmint_hostapd_drv_sta_deauth
hostapd_drv_sta_disassoc                                     mmint_hostapd_drv_sta_disassoc
hostapd_drv_update_dh_ie                                     mmint_hostapd_drv_update_dh_ie
hostapd_drv_wnm_oper                                         mmint_hostapd_drv_wnm_oper
hostapd_eid_adv_proto                                        mmint_hostapd_eid_adv_proto
hostapd_eid_aid_response                                     mmint_hostapd_eid_aid_response
hostapd_eid_assoc_comeback_time                              mmint_hostapd_eid_assoc_comeback_time
hostapd_eid_bss_max_idle_period                              mmint_hostapd_eid_bss_max_idle_period
hostapd_eid_chsw_wrapper                                     mmint_hostapd_eid_chsw_wrapper
hostapd_eid_dpp_cc                                           mmint_hostapd_eid_dpp_cc
hostapd_eid_dpp_cc_len                                       mmint_hostapd_eid_dpp_cc_len
hostapd_eid_ext_capab                                        mmint_hostapd_eid_ext_capab
hostapd_eid_ext_supp_rates                                   mmint_hostapd_eid_ext_supp_rates
hostapd_eid_fils_indic                                       mmint_hostapd_eid_fils_indic
hostapd_eid_ht_capabilities                                  mmint_hostapd_eid_ht_capabilities
hostapd_eid_ht_operation                                     mmint_hostapd_eid_ht_operation
hostapd_eid_interworking                                     mmint_hostapd_eid_interworking
hostapd_eid_mbssid                                           mmint_hostapd_eid_mbssid
hostapd_eid_mbssid_len                                       mmint_hostapd_eid_mbssid_len
hostapd_eid_owe_trans                                        mmint_hostapd_eid_owe_trans
hostapd_eid_owe_trans_len                                    mmint_hostapd_eid_owe_trans_len
hostapd_eid_qos_map_set                                      mmint_hostapd_eid_qos_map_set
hostapd_eid_rm_enabled_capab                                 mmint_hostapd_eid_rm_enabled_capab
hostapd_eid_rnr                                              mmint_hostapd_eid_rnr
hostapd_eid_rnr_colocation                                   mmint_hostapd_eid_rnr_colocation
hostapd_eid_rnr_len                                          mmint_hostapd_eid_rnr_len
hostapd_eid_rnr_mlo                                          mmint_hostapd_eid_rnr_mlo
hostapd_eid_roaming_consortium                               mmint_hostapd_eid_roaming_consortium
hostapd_eid_rsnxe                                            mmint_hostapd_eid_rsnxe
hostapd_eid_s1g_beacon_compat                                mmint_hostapd_eid_s1g_beacon_compat
hostapd_eid_s1g_capab                                        mmint_hostapd_eid_s1g_capab
hostapd_eid_s1g_oper                                         mmint_hostapd_eid_s1g_oper
hostapd_eid_s1g_short_beacon_int                             mmint_hostapd_eid_s1g_short_beacon_int
hostapd_eid_supp_rates                                       mmint_hostapd_eid_supp_rates
hostapd_eid_time_adv                                         mmint_hostapd_eid_time_adv
hostapd_eid_time_zone                                        mmint_hostapd_eid_time_zone
hostapd_eid_txpower_envelope                                 mmint_hostapd_eid_txpower_envelope
hostapd_eid_wmm                                              mmint_hostapd_eid_wmm
hostapd_eid_wmm_valid                                        mmint_hostapd_eid_wmm_valid
hostapd_enable_iface                                         mmint_hostapd_enable_iface
hostapd_encode_edmg_chan                                     mmint_hostapd_encode_edmg_chan
hostapd_event_ch_switch                                      mmint_hostapd_event_ch_switch
hostapd_event_connect_failed_reason                          mmint_hostapd_event_connect_failed_reason
hostapd_event_get_survey                                     mmint_hostapd_event_get_survey
hostapd_event_sta_low_ack                                    mmint_hostapd_event_sta_low_ack
hostapd_event_sta_opmode_changed                             mmint_hostapd_event_sta_opmode_changed
hostapd_flush                                                mmint_hostapd_flush
hostapd_for_each_interface                                   mmint_hostapd_for_each_interface
hostapd_force_channel_switch                                 mmint_hostapd_force_channel_switch
hostapd_free_ap_extra_ies                                    mmint_hostapd_free_ap_extra_ies
hostapd_free_hapd_data                                       mmint_hostapd_free_hapd_data
hostapd_free_hw_features                                     mmint_hostapd_free_hw_features
hostapd_free_multi_hw_info                                   mmint_hostapd_free_multi_hw_info
hostapd_free_neighbor_db                                     mmint_hostapd_free_neighbor_db
hostapd_free_psk_list                                        mmint_hostapd_free_psk_list
hostapd_free_stas                                            mmint_hostapd_free_stas
hostapd_get_aid                                              mmint_hostapd_get_aid
hostapd_get_eap_user                                         mmint_hostapd_get_eap_user
hostapd_get_ext_capa                                         mmint_hostapd_get_ext_capa
hostapd_get_ht_capab                                         mmint_hostapd_get_ht_capab
hostapd_get_ht_vht_twt_responder                             mmint_hostapd_get_ht_vht_twt_responder
hostapd_get_hw_feature_data                                  mmint_hostapd_get_hw_feature_data
hostapd_get_hw_features                                      mmint_hostapd_get_hw_features
hostapd_get_hw_mode_any_channels                             mmint_hostapd_get_hw_mode_any_channels
hostapd_get_iface                                            mmint_hostapd_get_iface
hostapd_get_mld_capa                                         mmint_hostapd_get_mld_capa
hostapd_get_multi_hw_info                                    mmint_hostapd_get_multi_hw_info
hostapd_get_psk                                              mmint_hostapd_get_psk
hostapd_get_punct_bitmap                                     mmint_hostapd_get_punct_bitmap
hostapd_get_seqnum                                           mmint_hostapd_get_seqnum
hostapd_get_ssid                                             mmint_hostapd_get_ssid
hostapd_get_vlan_id_ifname                                   mmint_hostapd_get_vlan_id_ifname
hostapd_handle_dfs                                           mmint_hostapd_handle_dfs
hostapd_handle_dfs_offload                                   mmint_hostapd_handle_dfs_offload
hostapd_handle_radio_measurement                             mmint_hostapd_handle_radio_measurement
hostapd_ht_operation_update                                  mmint_hostapd_ht_operation_update
hostapd_hw_get_channel                                       mmint_hostapd_hw_get_channel
hostapd_hw_get_freq                                          mmint_hostapd_hw_get_freq
hostapd_hw_mode_txt                                          mmint_hostapd_hw_mode_txt
hostapd_hw_skip_mode                                         mmint_hostapd_hw_skip_mode
hostapd_if_add                                               mmint_hostapd_if_add
hostapd_if_remove                                            mmint_hostapd_if_remove
hostapd_init                                                 mmint_hostapd_init
hostapd_interface_deinit                                     mmint_hostapd_interface_deinit
hostapd_interface_deinit_free                                mmint_hostapd_interface_deinit_free
hostapd_interface_free                                       mmint_hostapd_interface_free
hostapd_interface_init_bss                                   mmint_hostapd_interface_init_bss
hostapd_is_dfs_chan_available                                mmint_hostapd_is_dfs_chan_available
hostapd_is_dfs_overlap                                       mmint_hostapd_is_dfs_overlap
hostapd_is_dfs_required                                      mmint_hostapd_is_dfs_required
hostapd_logger                                               mmint_hostapd_logger
hostapd_logger_register_cb                                   mmint_hostapd_logger_register_cb
hostapd_mac_comp                                             mmint_hostapd_mac_comp
hostapd_maclist_found                                        mmint_hostapd_maclist_found
hostapd_mbssid_get_bss_index                                 mmint_hostapd_mbssid_get_bss_index
hostapd_mbssid_get_tx_bss                                    mmint_hostapd_mbssid_get_tx_bss
hostapd_ml_get_assoc_sta                                     mmint_hostapd_ml_get_assoc_sta
hostapd_neighbor_get                                         mmint_hostapd_neighbor_get
hostapd_neighbor_remove                                      mmint_hostapd_neighbor_remove
hostapd_neighbor_set                                         mmint_hostapd_neighbor_set
hostapd_neighbor_set_own_report                              mmint_hostapd_neighbor_set_own_report
hostapd_neighbor_show                                        mmint_hostapd_neighbor_show
hostapd_neighbor_sync_own_report                             mmint_hostapd_neighbor_sync_own_report
hostapd_new_assoc_sta                                        mmint_hostapd_new_assoc_sta
hostapd_notif_assoc                                          mmint_hostapd_notif_assoc
hostapd_notif_disassoc                                       mmint_hostapd_notif_disassoc
hostapd_owe_trans_get_info                                   mmint_hostapd_owe_trans_get_info
hostapd_own_capab_info                                       mmint_hostapd_own_capab_info
hostapd_parse_radius_attr                                    mmint_hostapd_parse_radius_attr
hostapd_periodic_iface                                       mmint_hostapd_periodic_iface
hostapd_prepare_rates                                        mmint_hostapd_prepare_rates
hostapd_probe_req_rx                                         mmint_hostapd_probe_req_rx
hostapd_process_assoc_ml_info                                mmint_hostapd_process_assoc_ml_info
hostapd_prune_associations                                   mmint_hostapd_prune_associations
hostapd_rate_found                                           mmint_hostapd_rate_found
hostapd_reconfig_encryption                                  mmint_hostapd_reconfig_encryption
hostapd_reconfig_wpa                                         mmint_hostapd_reconfig_wpa
hostapd_register_probereq_cb                                 mmint_hostapd_register_probereq_cb
hostapd_reload_bss_only                                      mmint_hostapd_reload_bss_only
hostapd_reload_config                                        mmint_hostapd_reload_config
hostapd_reload_iface                                         mmint_hostapd_reload_iface
hostapd_remove_acl_mac                                       mmint_hostapd_remove_acl_mac
